Home,Home_Short,Away,Away_Short,Pts_Home,Pts_Away
Novimex Polonia 1912 Leszno,LES,Enea Abramczyk Astoria Bydgoszcz,AST,66,83
Solvera Sokół Łańcut,ŁAŃ,Żubry Abakus Okna Białystok,BIA,75,70
GKS Tychy,GKS,Enea Basket Poznań,POZ,81,75
KSK Qemetica Noteć Inowrocław,INO,ŁKS Coolpack Łódź,ŁKS,69,91
Miners Katowice,KAT,Decka Pelplin,PEL,59,82
WKK Active Hotel Wrocław,WKK,Kotwica Port Morski Kołobrzeg,KOT,70,76
SKS Fulimpex Starogard Gdański,STG,OPTeam Energia Polska Resovia,RES,79,68
KKS Polonia Warszawa,WAR,Weegree AZS Politechnika Opolska,OPO,84,80
Miners Katowice,KAT,SKS Fulimpex Starogard Gdański,STG,65,88
Decka Pelplin,PEL,PGE Spójnia Stargard,SPÓ,107,102
Enea Basket Poznań,POZ,Solvera Sokół Łańcut,ŁAŃ,91,64
OPTeam Energia Polska Resovia,RES,GKS Tychy,GKS,75,76
Weegree AZS Politechnika Opolska,OPO,KSK Qemetica Noteć Inowrocław,INO,98,90
Enea Abramczyk Astoria Bydgoszcz,AST,KKS Polonia Warszawa,WAR,89,78
Żubry Abakus Okna Białystok,BIA,Novimex Polonia 1912 Leszno,LES,81,91
ŁKS Coolpack Łódź,ŁKS,WKK Active Hotel Wrocław,WKK,82,80
GKS Tychy,GKS,Miners Katowice,KAT,108,86
Solvera Sokół Łańcut,ŁAŃ,OPTeam Energia Polska Resovia,RES,94,80
Novimex Polonia 1912 Leszno,LES,Enea Basket Poznań,POZ,64,90
WKK Active Hotel Wrocław,WKK,Weegree AZS Politechnika Opolska,OPO,84,75
KKS Polonia Warszawa,WAR,Żubry Abakus Okna Białystok,BIA,94,87
KSK Qemetica Noteć Inowrocław,INO,Enea Abramczyk Astoria Bydgoszcz,AST,65,110
SKS Fulimpex Starogard Gdański,STG,Decka Pelplin,PEL,96,91
PGE Spójnia Stargard,SPÓ,Kotwica Port Morski Kołobrzeg,KOT,69,64
Miners Katowice,KAT,Solvera Sokół Łańcut,ŁAŃ,82,94
Decka Pelplin,PEL,Kotwica Port Morski Kołobrzeg,KOT,84,80
OPTeam Energia Polska Resovia,RES,Novimex Polonia 1912 Leszno,LES,83,68
WKK Active Hotel Wrocław,WKK,Enea Abramczyk Astoria Bydgoszcz,AST,75,83
ŁKS Coolpack Łódź,ŁKS,PGE Spójnia Stargard,SPÓ,81,83
Żubry Abakus Okna Białystok,BIA,KSK Qemetica Noteć Inowrocław,INO,62,83
Enea Basket Poznań,POZ,KKS Polonia Warszawa,WAR,71,82
SKS Fulimpex Starogard Gdański,STG,GKS Tychy,GKS,90,76
Novimex Polonia 1912 Leszno,LES,Miners Katowice,KAT,51,76
PGE Spójnia Stargard,SPÓ,Weegree AZS Politechnika Opolska,OPO,81,73
GKS Tychy,GKS,Decka Pelplin,PEL,105,89
Kotwica Port Morski Kołobrzeg,KOT,ŁKS Coolpack Łódź,ŁKS,58,85
KSK Qemetica Noteć Inowrocław,INO,Enea Basket Poznań,POZ,76,74
WKK Active Hotel Wrocław,WKK,Żubry Abakus Okna Białystok,BIA,87,75
KKS Polonia Warszawa,WAR,OPTeam Energia Polska Resovia,RES,85,90
Solvera Sokół Łańcut,ŁAŃ,SKS Fulimpex Starogard Gdański,STG,61,77
GKS Tychy,GKS,Solvera Sokół Łańcut,ŁAŃ,106,104
OPTeam Energia Polska Resovia,RES,KSK Qemetica Noteć Inowrocław,INO,83,79
SKS Fulimpex Starogard Gdański,STG,Novimex Polonia 1912 Leszno,LES,101,94
Enea Abramczyk Astoria Bydgoszcz,AST,PGE Spójnia Stargard,SPÓ,92,79
Weegree AZS Politechnika Opolska,OPO,Kotwica Port Morski Kołobrzeg,KOT,71,94
Enea Basket Poznań,POZ,WKK Active Hotel Wrocław,WKK,76,81
Decka Pelplin,PEL,ŁKS Coolpack Łódź,ŁKS,83,72
Miners Katowice,KAT,KKS Polonia Warszawa,WAR,91,94
KSK Qemetica Noteć Inowrocław,INO,Miners Katowice,KAT,82,79
WKK Active Hotel Wrocław,WKK,OPTeam Energia Polska Resovia,RES,76,69
Kotwica Port Morski Kołobrzeg,KOT,Enea Abramczyk Astoria Bydgoszcz,AST,89,91
Solvera Sokół Łańcut,ŁAŃ,Decka Pelplin,PEL,77,70
Novimex Polonia 1912 Leszno,LES,GKS Tychy,GKS,88,67
KKS Polonia Warszawa,WAR,SKS Fulimpex Starogard Gdański,STG,86,77
PGE Spójnia Stargard,SPÓ,Żubry Abakus Okna Białystok,BIA,93,73
ŁKS Coolpack Łódź,ŁKS,Weegree AZS Politechnika Opolska,OPO,81,80
SKS Fulimpex Starogard Gdański,STG,KSK Qemetica Noteć Inowrocław,INO,89,72
GKS Tychy,GKS,KKS Polonia Warszawa,WAR,80,87
Decka Pelplin,PEL,Weegree AZS Politechnika Opolska,OPO,94,77
Żubry Abakus Okna Białystok,BIA,Kotwica Port Morski Kołobrzeg,KOT,74,76
Miners Katowice,KAT,WKK Active Hotel Wrocław,WKK,87,81
Solvera Sokół Łańcut,ŁAŃ,Novimex Polonia 1912 Leszno,LES,87,64
Enea Abramczyk Astoria Bydgoszcz,AST,ŁKS Coolpack Łódź,ŁKS,74,85
Enea Basket Poznań,POZ,PGE Spójnia Stargard,SPÓ,79,73
WKK Active Hotel Wrocław,WKK,SKS Fulimpex Starogard Gdański,STG,71,82
Kotwica Port Morski Kołobrzeg,KOT,Enea Basket Poznań,POZ,82,64
KKS Polonia Warszawa,WAR,Solvera Sokół Łańcut,ŁAŃ,108,96
Weegree AZS Politechnika Opolska,OPO,Enea Abramczyk Astoria Bydgoszcz,AST,81,84
KSK Qemetica Noteć Inowrocław,INO,GKS Tychy,GKS,75,83
Novimex Polonia 1912 Leszno,LES,Decka Pelplin,PEL,95,86
ŁKS Coolpack Łódź,ŁKS,Żubry Abakus Okna Białystok,BIA,89,62
PGE Spójnia Stargard,SPÓ,OPTeam Energia Polska Resovia,RES,83,88
GKS Tychy,GKS,WKK Active Hotel Wrocław,WKK,101,61
Enea Basket Poznań,POZ,ŁKS Coolpack Łódź,ŁKS,85,90
Novimex Polonia 1912 Leszno,LES,KKS Polonia Warszawa,WAR,83,57
Decka Pelplin,PEL,Enea Abramczyk Astoria Bydgoszcz,AST,68,85
Miners Katowice,KAT,PGE Spójnia Stargard,SPÓ,70,78
OPTeam Energia Polska Resovia,RES,Kotwica Port Morski Kołobrzeg,KOT,85,75
Solvera Sokół Łańcut,ŁAŃ,KSK Qemetica Noteć Inowrocław,INO,91,85
Żubry Abakus Okna Białystok,BIA,Weegree AZS Politechnika Opolska,OPO,81,92
WKK Active Hotel Wrocław,WKK,Solvera Sokół Łańcut,ŁAŃ,97,101
Weegree AZS Politechnika Opolska,OPO,Enea Basket Poznań,POZ,94,81
Decka Pelplin,PEL,KKS Polonia Warszawa,WAR,79,57
Enea Abramczyk Astoria Bydgoszcz,AST,Żubry Abakus Okna Białystok,BIA,99,65
KSK Qemetica Noteć Inowrocław,INO,Novimex Polonia 1912 Leszno,LES,101,91
Kotwica Port Morski Kołobrzeg,KOT,Miners Katowice,KAT,81,93
ŁKS Coolpack Łódź,ŁKS,OPTeam Energia Polska Resovia,RES,88,85
PGE Spójnia Stargard,SPÓ,SKS Fulimpex Starogard Gdański,STG,92,83
Enea Basket Poznań,POZ,Enea Abramczyk Astoria Bydgoszcz,AST,102,97
KKS Polonia Warszawa,WAR,KSK Qemetica Noteć Inowrocław,INO,79,88
GKS Tychy,GKS,PGE Spójnia Stargard,SPÓ,65,79
Miners Katowice,KAT,ŁKS Coolpack Łódź,ŁKS,87,93
Decka Pelplin,PEL,Żubry Abakus Okna Białystok,BIA,101,89
Novimex Polonia 1912 Leszno,LES,WKK Active Hotel Wrocław,WKK,64,74
OPTeam Energia Polska Resovia,RES,Weegree AZS Politechnika Opolska,OPO,73,71
SKS Fulimpex Starogard Gdański,STG,Kotwica Port Morski Kołobrzeg,KOT,96,94
WKK Active Hotel Wrocław,WKK,KKS Polonia Warszawa,WAR,86,88
PGE Spójnia Stargard,SPÓ,Solvera Sokół Łańcut,ŁAŃ,96,81
Kotwica Port Morski Kołobrzeg,KOT,GKS Tychy,GKS,76,84
ŁKS Coolpack Łódź,ŁKS,SKS Fulimpex Starogard Gdański,STG,96,68
Enea Abramczyk Astoria Bydgoszcz,AST,OPTeam Energia Polska Resovia,RES,79,60
Weegree AZS Politechnika Opolska,OPO,Miners Katowice,KAT,90,78
KSK Qemetica Noteć Inowrocław,INO,Decka Pelplin,PEL,78,99
Żubry Abakus Okna Białystok,BIA,Enea Basket Poznań,POZ,66,80
GKS Tychy,GKS,ŁKS Coolpack Łódź,ŁKS,84,105
Novimex Polonia 1912 Leszno,LES,PGE Spójnia Stargard,SPÓ,88,87
Decka Pelplin,PEL,Enea Basket Poznań,POZ,85,75
Solvera Sokół Łańcut,ŁAŃ,Kotwica Port Morski Kołobrzeg,KOT,87,78
Miners Katowice,KAT,Enea Abramczyk Astoria Bydgoszcz,AST,65,84
KSK Qemetica Noteć Inowrocław,INO,WKK Active Hotel Wrocław,WKK,76,81
OPTeam Energia Polska Resovia,RES,Żubry Abakus Okna Białystok,BIA,108,83
SKS Fulimpex Starogard Gdański,STG,Weegree AZS Politechnika Opolska,OPO,99,71
Enea Abramczyk Astoria Bydgoszcz,AST,SKS Fulimpex Starogard Gdański,STG,71,79
WKK Active Hotel Wrocław,WKK,Decka Pelplin,PEL,92,99
Kotwica Port Morski Kołobrzeg,KOT,Novimex Polonia 1912 Leszno,LES,67,70
Żubry Abakus Okna Białystok,BIA,Miners Katowice,KAT,104,92
ŁKS Coolpack Łódź,ŁKS,Solvera Sokół Łańcut,ŁAŃ,98,77
PGE Spójnia Stargard,SPÓ,KKS Polonia Warszawa,WAR,87,73
Enea Basket Poznań,POZ,OPTeam Energia Polska Resovia,RES,100,96
Weegree AZS Politechnika Opolska,OPO,GKS Tychy,GKS,107,74
GKS Tychy,GKS,Enea Abramczyk Astoria Bydgoszcz,AST,75,92
Solvera Sokół Łańcut,ŁAŃ,Weegree AZS Politechnika Opolska,OPO,87,80
SKS Fulimpex Starogard Gdański,STG,Żubry Abakus Okna Białystok,BIA,96,86
KKS Polonia Warszawa,WAR,Kotwica Port Morski Kołobrzeg,KOT,64,86
Miners Katowice,KAT,Enea Basket Poznań,POZ,78,84
Decka Pelplin,PEL,OPTeam Energia Polska Resovia,RES,88,81
Novimex Polonia 1912 Leszno,LES,ŁKS Coolpack Łódź,ŁKS,86,73
KSK Qemetica Noteć Inowrocław,INO,PGE Spójnia Stargard,SPÓ,89,92
OPTeam Energia Polska Resovia,RES,Miners Katowice,KAT,101,102
Enea Abramczyk Astoria Bydgoszcz,AST,Solvera Sokół Łańcut,ŁAŃ,113,81
Żubry Abakus Okna Białystok,BIA,GKS Tychy,GKS,70,76
Kotwica Port Morski Kołobrzeg,KOT,KSK Qemetica Noteć Inowrocław,INO,77,68
PGE Spójnia Stargard,SPÓ,WKK Active Hotel Wrocław,WKK,73,85
Weegree AZS Politechnika Opolska,OPO,Novimex Polonia 1912 Leszno,LES,76,83
ŁKS Coolpack Łódź,ŁKS,KKS Polonia Warszawa,WAR,84,67
Enea Basket Poznań,POZ,SKS Fulimpex Starogard Gdański,STG,63,70
OPTeam Energia Polska Resovia,RES,SKS Fulimpex Starogard Gdański,STG,89,75
Kotwica Port Morski Kołobrzeg,KOT,WKK Active Hotel Wrocław,WKK,76,82
ŁKS Coolpack Łódź,ŁKS,KSK Qemetica Noteć Inowrocław,INO,82,84
Enea Basket Poznań,POZ,GKS Tychy,GKS,82,71
Weegree AZS Politechnika Opolska,OPO,KKS Polonia Warszawa,WAR,78,84
Decka Pelplin,PEL,Miners Katowice,KAT,80,73
Żubry Abakus Okna Białystok,BIA,Solvera Sokół Łańcut,ŁAŃ,81,89
Enea Abramczyk Astoria Bydgoszcz,AST,Novimex Polonia 1912 Leszno,LES,107,101
WKK Active Hotel Wrocław,WKK,ŁKS Coolpack Łódź,ŁKS,81,99
KKS Polonia Warszawa,WAR,Enea Abramczyk Astoria Bydgoszcz,AST,80,88
Novimex Polonia 1912 Leszno,LES,Żubry Abakus Okna Białystok,BIA,67,66
GKS Tychy,GKS,OPTeam Energia Polska Resovia,RES,87,76
SKS Fulimpex Starogard Gdański,STG,Miners Katowice,KAT,88,79
PGE Spójnia Stargard,SPÓ,Decka Pelplin,PEL,92,90
KSK Qemetica Noteć Inowrocław,INO,Weegree AZS Politechnika Opolska,OPO,75,82
Solvera Sokół Łańcut,ŁAŃ,Enea Basket Poznań,POZ,90,77
Decka Pelplin,PEL,SKS Fulimpex Starogard Gdański,STG,92,80
Weegree AZS Politechnika Opolska,OPO,WKK Active Hotel Wrocław,WKK,70,89
Kotwica Port Morski Kołobrzeg,KOT,PGE Spójnia Stargard,SPÓ,97,53
Miners Katowice,KAT,GKS Tychy,GKS,73,75
Enea Basket Poznań,POZ,Novimex Polonia 1912 Leszno,LES,83,72
Enea Abramczyk Astoria Bydgoszcz,AST,KSK Qemetica Noteć Inowrocław,INO,108,92
OPTeam Energia Polska Resovia,RES,Solvera Sokół Łańcut,ŁAŃ,94,96
Kotwica Port Morski Kołobrzeg,KOT,Decka Pelplin,PEL,86,72
KKS Polonia Warszawa,WAR,Enea Basket Poznań,POZ,75,76
Solvera Sokół Łańcut,ŁAŃ,Miners Katowice,KAT,91,84
GKS Tychy,GKS,SKS Fulimpex Starogard Gdański,STG,70,83
PGE Spójnia Stargard,SPÓ,ŁKS Coolpack Łódź,ŁKS,84,68
KSK Qemetica Noteć Inowrocław,INO,Żubry Abakus Okna Białystok,BIA,80,81
Enea Abramczyk Astoria Bydgoszcz,AST,WKK Active Hotel Wrocław,WKK,91,79
Novimex Polonia 1912 Leszno,LES,OPTeam Energia Polska Resovia,RES,78,74
Enea Basket Poznań,POZ,KSK Qemetica Noteć Inowrocław,INO,81,75
Weegree AZS Politechnika Opolska,OPO,PGE Spójnia Stargard,SPÓ,77,73
SKS Fulimpex Starogard Gdański,STG,Solvera Sokół Łańcut,ŁAŃ,78,86
OPTeam Energia Polska Resovia,RES,KKS Polonia Warszawa,WAR,100,95
Miners Katowice,KAT,Novimex Polonia 1912 Leszno,LES,100,92
Decka Pelplin,PEL,GKS Tychy,GKS,73,76
Żubry Abakus Okna Białystok,BIA,WKK Active Hotel Wrocław,WKK,80,90
Kotwica Port Morski Kołobrzeg,KOT,Weegree AZS Politechnika Opolska,OPO,79,76
WKK Active Hotel Wrocław,WKK,Enea Basket Poznań,POZ,82,76
ŁKS Coolpack Łódź,ŁKS,Decka Pelplin,PEL,95,81
Solvera Sokół Łańcut,ŁAŃ,GKS Tychy,GKS,71,80
KSK Qemetica Noteć Inowrocław,INO,OPTeam Energia Polska Resovia,RES,89,55
KKS Polonia Warszawa,WAR,Miners Katowice,KAT,75,68
PGE Spójnia Stargard,SPÓ,Enea Abramczyk Astoria Bydgoszcz,AST,69,80
Novimex Polonia 1912 Leszno,LES,SKS Fulimpex Starogard Gdański,STG,72,97
Decka Pelplin,PEL,Solvera Sokół Łańcut,ŁAŃ,83,69
GKS Tychy,GKS,Novimex Polonia 1912 Leszno,LES,96,88
SKS Fulimpex Starogard Gdański,STG,KKS Polonia Warszawa,WAR,86,99
Miners Katowice,KAT,KSK Qemetica Noteć Inowrocław,INO,57,69
Żubry Abakus Okna Białystok,BIA,PGE Spójnia Stargard,SPÓ,69,104
Weegree AZS Politechnika Opolska,OPO,ŁKS Coolpack Łódź,ŁKS,94,104
Enea Abramczyk Astoria Bydgoszcz,AST,Kotwica Port Morski Kołobrzeg,KOT,76,66
OPTeam Energia Polska Resovia,RES,WKK Active Hotel Wrocław,WKK,72,68
Kotwica Port Morski Kołobrzeg,KOT,Żubry Abakus Okna Białystok,BIA,93,73
PGE Spójnia Stargard,SPÓ,Enea Basket Poznań,POZ,82,77
ŁKS Coolpack Łódź,ŁKS,Enea Abramczyk Astoria Bydgoszcz,AST,73,75
KKS Polonia Warszawa,WAR,GKS Tychy,GKS,55,69
Novimex Polonia 1912 Leszno,LES,Solvera Sokół Łańcut,ŁAŃ,89,92
Weegree AZS Politechnika Opolska,OPO,Decka Pelplin,PEL,83,106
WKK Active Hotel Wrocław,WKK,Miners Katowice,KAT,92,94
KSK Qemetica Noteć Inowrocław,INO,SKS Fulimpex Starogard Gdański,STG,79,70
GKS Tychy,GKS,KSK Qemetica Noteć Inowrocław,INO,110,73
Żubry Abakus Okna Białystok,BIA,ŁKS Coolpack Łódź,ŁKS,87,81
Solvera Sokół Łańcut,ŁAŃ,KKS Polonia Warszawa,WAR,100,99
OPTeam Energia Polska Resovia,RES,PGE Spójnia Stargard,SPÓ,72,77
Enea Basket Poznań,POZ,Kotwica Port Morski Kołobrzeg,KOT,86,102
Decka Pelplin,PEL,Novimex Polonia 1912 Leszno,LES,82,75
Enea Abramczyk Astoria Bydgoszcz,AST,Weegree AZS Politechnika Opolska,OPO,89,80
SKS Fulimpex Starogard Gdański,STG,WKK Active Hotel Wrocław,WKK,96,80
Kotwica Port Morski Kołobrzeg,KOT,OPTeam Energia Polska Resovia,RES,103,80
Enea Abramczyk Astoria Bydgoszcz,AST,Decka Pelplin,PEL,104,81
KSK Qemetica Noteć Inowrocław,INO,Solvera Sokół Łańcut,ŁAŃ,87,101
KKS Polonia Warszawa,WAR,Novimex Polonia 1912 Leszno,LES,68,76
Weegree AZS Politechnika Opolska,OPO,Żubry Abakus Okna Białystok,BIA,87,68
ŁKS Coolpack Łódź,ŁKS,Enea Basket Poznań,POZ,96,82
WKK Active Hotel Wrocław,WKK,GKS Tychy,GKS,77,69
PGE Spójnia Stargard,SPÓ,Miners Katowice,KAT,92,83
Solvera Sokół Łańcut,ŁAŃ,WKK Active Hotel Wrocław,WKK,96,94
Novimex Polonia 1912 Leszno,LES,KSK Qemetica Noteć Inowrocław,INO,72,66
Miners Katowice,KAT,Kotwica Port Morski Kołobrzeg,KOT,82,98
SKS Fulimpex Starogard Gdański,STG,PGE Spójnia Stargard,SPÓ,80,83
Żubry Abakus Okna Białystok,BIA,Enea Abramczyk Astoria Bydgoszcz,AST,72,83
KKS Polonia Warszawa,WAR,Decka Pelplin,PEL,93,80
OPTeam Energia Polska Resovia,RES,ŁKS Coolpack Łódź,ŁKS,82,89
Enea Basket Poznań,POZ,Weegree AZS Politechnika Opolska,OPO,83,84
Kotwica Port Morski Kołobrzeg,KOT,SKS Fulimpex Starogard Gdański,STG,74,57
Żubry Abakus Okna Białystok,BIA,Decka Pelplin,PEL,84,91
PGE Spójnia Stargard,SPÓ,GKS Tychy,GKS,87,81
Enea Abramczyk Astoria Bydgoszcz,AST,Enea Basket Poznań,POZ,88,67
ŁKS Coolpack Łódź,ŁKS,Miners Katowice,KAT,86,88
WKK Active Hotel Wrocław,WKK,Novimex Polonia 1912 Leszno,LES,81,69
Weegree AZS Politechnika Opolska,OPO,OPTeam Energia Polska Resovia,RES,76,74
KSK Qemetica Noteć Inowrocław,INO,KKS Polonia Warszawa,WAR,79,67
Decka Pelplin,PEL,KSK Qemetica Noteć Inowrocław,INO,70,79
Solvera Sokół Łańcut,ŁAŃ,PGE Spójnia Stargard,SPÓ,80,78
GKS Tychy,GKS,Kotwica Port Morski Kołobrzeg,KOT,89,83
SKS Fulimpex Starogard Gdański,STG,ŁKS Coolpack Łódź,ŁKS,79,72
OPTeam Energia Polska Resovia,RES,Enea Abramczyk Astoria Bydgoszcz,AST,88,75
Enea Basket Poznań,POZ,Żubry Abakus Okna Białystok,BIA,84,90
KKS Polonia Warszawa,WAR,WKK Active Hotel Wrocław,WKK,77,68
Miners Katowice,KAT,Weegree AZS Politechnika Opolska,OPO,77,79
Solvera Sokół Łańcut,ŁAŃ,Enea Abramczyk Astoria Bydgoszcz,AST,79,71
GKS Tychy,GKS,Żubry Abakus Okna Białystok,BIA,89,75
KKS Polonia Warszawa,WAR,ŁKS Coolpack Łódź,ŁKS,90,66
KSK Qemetica Noteć Inowrocław,INO,Kotwica Port Morski Kołobrzeg,KOT,95,71
SKS Fulimpex Starogard Gdański,STG,Enea Basket Poznań,POZ,93,84
Miners Katowice,KAT,OPTeam Energia Polska Resovia,RES,73,78
WKK Active Hotel Wrocław,WKK,PGE Spójnia Stargard,SPÓ,80,89
Novimex Polonia 1912 Leszno,LES,Weegree AZS Politechnika Opolska,OPO,75,89
